node1	node2	node1_string_id	node2_string_id	weight	weight2
APEX1	XRCC5	9606.ENSP00000216714	9606.ENSP00000375978	0.292	0.292
C1QBP	XRCC5	9606.ENSP00000225698	9606.ENSP00000375978	0.161	0.161
CHRAC1	XRCC5	9606.ENSP00000220913	9606.ENSP00000375978	0.292	0.292
DDB1	XRCC5	9606.ENSP00000301764	9606.ENSP00000375978	0.292	0.292
DDX17	XRCC5	9606.ENSP00000380033	9606.ENSP00000375978	0.292	0.292
DHX9	XRCC5	9606.ENSP00000356520	9606.ENSP00000375978	0.457	0.457
HIST2H2BE	XRCC5	9606.ENSP00000358151	9606.ENSP00000375978	0.187	0.187
HNRNPA1	XRCC5	9606.ENSP00000341826	9606.ENSP00000375978	0.211	0.211
HNRNPC	XRCC5	9606.ENSP00000451291	9606.ENSP00000375978	0.292	0.292
HNRNPD	XRCC5	9606.ENSP00000313199	9606.ENSP00000375978	0.292	0.292
HNRNPL	XRCC5	9606.ENSP00000221419	9606.ENSP00000375978	0.292	0.292
ILF2	XRCC5	9606.ENSP00000355011	9606.ENSP00000375978	0.292	0.292
JUP	XRCC5	9606.ENSP00000377508	9606.ENSP00000375978	0.192	0.192
LRWD1	XRCC5	9606.ENSP00000292616	9606.ENSP00000375978	0.362	0.362
MACROH2A1	XRCC5	9606.ENSP00000423563	9606.ENSP00000375978	0.292	0.292
PARP1	XRCC5	9606.ENSP00000355759	9606.ENSP00000375978	0.459	0.459
PHB	XRCC5	9606.ENSP00000479488	9606.ENSP00000375978	0.292	0.292
PRKDC	XRCC5	9606.ENSP00000313420	9606.ENSP00000375978	0.96	0.96
PRPF8	XRCC5	9606.ENSP00000460348	9606.ENSP00000375978	0.17	0.169
RBM14	XRCC5	9606.ENSP00000311747	9606.ENSP00000375978	0.292	0.292
RBM39	XRCC5	9606.ENSP00000253363	9606.ENSP00000375978	0.317	0.317
RUVBL2	XRCC5	9606.ENSP00000473172	9606.ENSP00000375978	0.183	0.183
SSBP1	XRCC5	9606.ENSP00000419665	9606.ENSP00000375978	0.301	0.301
TRIM28	XRCC5	9606.ENSP00000253024	9606.ENSP00000375978	0.292	0.292
XRCC5	XRCC6	9606.ENSP00000375978	9606.ENSP00000352257	0.967	0.967
XRCC5	YBX1	9606.ENSP00000375978	9606.ENSP00000361626	0.292	0.292
EFTUD2	RPS23	9606.ENSP00000392094	9606.ENSP00000296674	0.4	0.4
EFTUD2	RACK1	9606.ENSP00000392094	9606.ENSP00000426909	0.4	0.4
EFTUD2	RPL9	9606.ENSP00000392094	9606.ENSP00000494697	0.4	0.4
EFTUD2	RPLP0	9606.ENSP00000392094	9606.ENSP00000449328	0.4	0.4
HSP90AB1	MCM5	9606.ENSP00000360609	9606.ENSP00000216122	0.4	0.4
GCN1L1	RPL26	9606.ENSP00000300648	9606.ENSP00000463784	0.401	0.4
GNL3	RPL7A	9606.ENSP00000395772	9606.ENSP00000361076	0.401	0.4
MACROH2A1	RUVBL1	9606.ENSP00000423563	9606.ENSP00000318297	0.401	0.401
PES1	RPL26	9606.ENSP00000346725	9606.ENSP00000463784	0.401	0.4
RBM39	RPS3A	9606.ENSP00000253363	9606.ENSP00000346050	0.401	0.4
RBM39	RPL35	9606.ENSP00000253363	9606.ENSP00000259469	0.401	0.4
GCN1L1	RPL3	9606.ENSP00000300648	9606.ENSP00000346001	0.402	0.402
GCN1L1	RPL10	9606.ENSP00000300648	9606.ENSP00000413436	0.402	0.402
MRPL1	RPL35	9606.ENSP00000315017	9606.ENSP00000259469	0.402	0.402
MRPL1	RPS11	9606.ENSP00000315017	9606.ENSP00000270625	0.402	0.402
MRPL1	RPS3	9606.ENSP00000315017	9606.ENSP00000278572	0.402	0.402
MRPL1	RPL15	9606.ENSP00000315017	9606.ENSP00000309334	0.402	0.402
MRPL1	RPL10	9606.ENSP00000315017	9606.ENSP00000413436	0.402	0.402
MRPL1	RPL18	9606.ENSP00000315017	9606.ENSP00000447001	0.402	0.402
MRPL1	RPL36	9606.ENSP00000315017	9606.ENSP00000464342	0.402	0.402
MRPL1	RPL5	9606.ENSP00000315017	9606.ENSP00000359345	0.402	0.402
MRPL1	RPS3A	9606.ENSP00000315017	9606.ENSP00000346050	0.402	0.402
MRPL1	RPL11	9606.ENSP00000315017	9606.ENSP00000496250	0.402	0.402
MRPL2	RPS3	9606.ENSP00000373404	9606.ENSP00000278572	0.402	0.402
MRPL2	RPL15	9606.ENSP00000373404	9606.ENSP00000309334	0.402	0.402
MRPL2	RPS24	9606.ENSP00000373404	9606.ENSP00000414321	0.402	0.402
MRPL2	RPL36	9606.ENSP00000373404	9606.ENSP00000464342	0.402	0.402
MRPL2	RPL18	9606.ENSP00000373404	9606.ENSP00000447001	0.402	0.402
RBM39	RPS18	9606.ENSP00000253363	9606.ENSP00000393241	0.402	0.402
RPL35	RPN1	9606.ENSP00000259469	9606.ENSP00000296255	0.402	0.402
EXOSC2	RAN	9606.ENSP00000361433	9606.ENSP00000446215	0.403	0.402
MRPL1	RPS18	9606.ENSP00000315017	9606.ENSP00000393241	0.403	0.402
MRPL1	RPS24	9606.ENSP00000315017	9606.ENSP00000414321	0.403	0.402
MRPL2	RPS11	9606.ENSP00000373404	9606.ENSP00000270625	0.403	0.402
MRPL2	RPL5	9606.ENSP00000373404	9606.ENSP00000359345	0.403	0.402
MRPL2	RPL11	9606.ENSP00000373404	9606.ENSP00000496250	0.403	0.402
MRPL2	RPL10	9606.ENSP00000373404	9606.ENSP00000413436	0.403	0.403
BRIX1	RPL5	9606.ENSP00000338862	9606.ENSP00000359345	0.404	0.404
HSP90AB1	HSPD1	9606.ENSP00000360609	9606.ENSP00000340019	0.404	0.404
MRPL1	RPS15	9606.ENSP00000315017	9606.ENSP00000466010	0.404	0.404
NAT10	RPL5	9606.ENSP00000257829	9606.ENSP00000359345	0.406	0.406
HNRNPC	RBM39	9606.ENSP00000451291	9606.ENSP00000253363	0.408	0.408
LMNA	SF3B3	9606.ENSP00000357283	9606.ENSP00000305790	0.408	0.408
PRPF8	RBM39	9606.ENSP00000460348	9606.ENSP00000253363	0.408	0.408
RPL26	WDR74	9606.ENSP00000463784	9606.ENSP00000432119	0.408	0.408
DDX17	SFPQ	9606.ENSP00000380033	9606.ENSP00000349748	0.409	0.408
