node1	node2	node1_string_id	node2_string_id	weight	weight2
C1QBP	XRCC5	9606.ENSP00000225698	9606.ENSP00000375978	0.161	0.161
RBM14	SIRT6	9606.ENSP00000311747	9606.ENSP00000337332	0.162	0.161
EFTUD2	MRE11A	9606.ENSP00000392094	9606.ENSP00000325863	0.165	0.165
PRPF8	XRCC5	9606.ENSP00000460348	9606.ENSP00000375978	0.17	0.169
G3BP1	SIRT6	9606.ENSP00000377681	9606.ENSP00000337332	0.174	0.173
ILF2	MRE11A	9606.ENSP00000355011	9606.ENSP00000325863	0.175	0.175
RUVBL2	XRCC5	9606.ENSP00000473172	9606.ENSP00000375978	0.183	0.183
NBN	XRCC5	9606.ENSP00000265433	9606.ENSP00000375978	0.184	0.183
HIST2H2BE	MRE11A	9606.ENSP00000358151	9606.ENSP00000325863	0.184	0.183
HIST2H2BE	XRCC5	9606.ENSP00000358151	9606.ENSP00000375978	0.187	0.187
MRE11A	NUMA1	9606.ENSP00000325863	9606.ENSP00000377298	0.199	0.199
MRE11A	TPR	9606.ENSP00000325863	9606.ENSP00000356448	0.202	0.202
MRE11A	TMPO	9606.ENSP00000325863	9606.ENSP00000266732	0.207	0.207
HNRNPA1	XRCC5	9606.ENSP00000341826	9606.ENSP00000375978	0.211	0.211
HNRNPM	MRE11A	9606.ENSP00000325376	9606.ENSP00000325863	0.216	0.216
MRE11A	RTCB	9606.ENSP00000325863	9606.ENSP00000216038	0.217	0.217
DHX9	MRE11A	9606.ENSP00000356520	9606.ENSP00000325863	0.219	0.219
MRE11A	MSH2	9606.ENSP00000325863	9606.ENSP00000233146	0.287	0.286
APEX1	SIRT6	9606.ENSP00000216714	9606.ENSP00000337332	0.292	0.292
MYBBP1A	SIRT6	9606.ENSP00000370968	9606.ENSP00000337332	0.292	0.292
PRKDC	SIRT6	9606.ENSP00000313420	9606.ENSP00000337332	0.292	0.292
RPL23	SIRT6	9606.ENSP00000420311	9606.ENSP00000337332	0.292	0.292
RPL3	SIRT6	9606.ENSP00000346001	9606.ENSP00000337332	0.292	0.292
RPS15A	SIRT6	9606.ENSP00000318646	9606.ENSP00000337332	0.292	0.292
SIRT6	XRCC5	9606.ENSP00000337332	9606.ENSP00000375978	0.292	0.292
SIRT6	SMARCA5	9606.ENSP00000337332	9606.ENSP00000283131	0.292	0.292
SIRT6	XRCC6	9606.ENSP00000337332	9606.ENSP00000352257	0.292	0.292
APEX1	XRCC5	9606.ENSP00000216714	9606.ENSP00000375978	0.292	0.292
