node1	node2	node1_string_id	node2_string_id	weight	weight2
DDB1	XRCC5	9606.ENSP00000301764	9606.ENSP00000375978	0.292	0.292
DDX17	XRCC5	9606.ENSP00000380033	9606.ENSP00000375978	0.292	0.292
DHX9	XRCC5	9606.ENSP00000356520	9606.ENSP00000375978	0.457	0.457
HNRNPA1	XRCC5	9606.ENSP00000341826	9606.ENSP00000375978	0.211	0.211
HNRNPC	XRCC5	9606.ENSP00000451291	9606.ENSP00000375978	0.292	0.292
HNRNPD	XRCC5	9606.ENSP00000313199	9606.ENSP00000375978	0.292	0.292
ILF2	XRCC5	9606.ENSP00000355011	9606.ENSP00000375978	0.292	0.292
MACROH2A1	XRCC5	9606.ENSP00000423563	9606.ENSP00000375978	0.292	0.292
MDC1	XRCC5	9606.ENSP00000365588	9606.ENSP00000375978	0.292	0.292
PHB	XRCC5	9606.ENSP00000479488	9606.ENSP00000375978	0.292	0.292
PRKDC	XRCC5	9606.ENSP00000313420	9606.ENSP00000375978	0.96	0.96
RBM14	XRCC5	9606.ENSP00000311747	9606.ENSP00000375978	0.292	0.292
RBM39	XRCC5	9606.ENSP00000253363	9606.ENSP00000375978	0.317	0.317
RUVBL2	XRCC5	9606.ENSP00000473172	9606.ENSP00000375978	0.183	0.183
TPT1	XRCC5	9606.ENSP00000477781	9606.ENSP00000375978	0.292	0.292
TRIM28	XRCC5	9606.ENSP00000253024	9606.ENSP00000375978	0.292	0.292
XRCC5	XRCC6	9606.ENSP00000375978	9606.ENSP00000352257	0.967	0.967
EFTUD2	RACK1	9606.ENSP00000392094	9606.ENSP00000426909	0.4	0.4
EFTUD2	RPLP0	9606.ENSP00000392094	9606.ENSP00000449328	0.4	0.4
GCN1L1	RPS14	9606.ENSP00000300648	9606.ENSP00000385958	0.401	0.4
GCN1L1	RPL10	9606.ENSP00000300648	9606.ENSP00000413436	0.402	0.402
RBM39	RPS18	9606.ENSP00000253363	9606.ENSP00000393241	0.402	0.402
DDX54	NPM1	9606.ENSP00000323858	9606.ENSP00000296930	0.404	0.404
HSP90AB1	HSPD1	9606.ENSP00000360609	9606.ENSP00000340019	0.404	0.404
DDX27	RPL37A	9606.ENSP00000483495	9606.ENSP00000418082	0.408	0.408
HNRNPC	RBM39	9606.ENSP00000451291	9606.ENSP00000253363	0.408	0.408
LMNA	SF3B3	9606.ENSP00000357283	9606.ENSP00000305790	0.408	0.408
DDX17	SFPQ	9606.ENSP00000380033	9606.ENSP00000349748	0.409	0.408
G3BP2	RPS8	9606.ENSP00000352738	9606.ENSP00000379888	0.409	0.408
HSP90AB1	PSMA2	9606.ENSP00000360609	9606.ENSP00000223321	0.409	0.408
HSPA8	PSMA2	9606.ENSP00000437125	9606.ENSP00000223321	0.409	0.408
RBM39	SF3B2	9606.ENSP00000253363	9606.ENSP00000318861	0.409	0.408
PABPC1	RALY	9606.ENSP00000313007	9606.ENSP00000246194	0.411	0.41
RBM39	RPS4X	9606.ENSP00000253363	9606.ENSP00000362744	0.411	0.41
DDX21	NOP58	9606.ENSP00000346120	9606.ENSP00000264279	0.412	0.412
NUP107	RCC1	9606.ENSP00000229179	9606.ENSP00000497402	0.412	0.412
RBM39	RPS8	9606.ENSP00000253363	9606.ENSP00000379888	0.413	0.412
HNRNPA1	PABPC1	9606.ENSP00000341826	9606.ENSP00000313007	0.415	0.414
